title,link,salary,location
Senior Low Level Programmer with Video Drivers experience,https://www.sherlocktalent.com/job/3070-senior-low-level-programmer-with-video-drivers-experience/,Depends on Experience,"Miami, FL"
Senior DevOps Engineer (Remote),https://www.sherlocktalent.com/job/3063-senior-devops-engineer-remote/,$90000,MIami
Account Manager,https://www.sherlocktalent.com/job/3014-account-manager/,$125000,Miami Beach
Business Development Professional Sales,https://www.sherlocktalent.com/job/3005-business-development-professional-sales/,Depends on Experience,North Bay Village
Front End Developer,https://www.sherlocktalent.com/job/3000-front-end-developer/,Depends on Experience,Miami
Data Visualization developer,https://www.sherlocktalent.com/job/2984-data-visualization-developer/,Depends on Experience,Miami
Adobe Analytics Professional,https://www.sherlocktalent.com/job/2982-adobe-analytics-professional/,Depends on Experience,Miami
Systems Architect SAP ABAP Developer,https://www.sherlocktalent.com/job/2943-systems-architect-sap-abap-developer/,Depends on Experience,miami beach
Agile Business Analyst,https://www.sherlocktalent.com/job/2940-agile-business-analyst/,Depends on Experience,Miami
SAP Public Sector FI/CO,https://www.sherlocktalent.com/job/2936-sap-public-sector-fi-co/,Depends on Experience,miami beach
Salesforce Developer,https://www.sherlocktalent.com/job/2918-salesforce-developer/,$100000,Aventura
Full Stack Magento Developer,https://www.sherlocktalent.com/job/2907-full-stack-magento-developer/,$80000,Coconut Grove
Tech Recruiter,https://www.sherlocktalent.com/job/2659-tech-recruiter/,$100000,North Bay Village
Unity VR Game Developer,https://www.sherlocktalent.com/job/1283-unity-vr-game-developer/,Depends on Experience,
Talent Sourcer & IT Recruiter,https://www.sherlocktalent.com/job/47-talent-sourcer-it-recruiter/,Depends on Experience,Remote
